Section,Title,Date,Description,URL
NHL,LNH : Logan Thompson à Montréal pour inspirer les jeunes (hockey),"jeudi, 31 juillet 2025","Découvrez nos catégories de témoins ci-dessous. Vous pouvez choisir de ne pas autoriser certains types de témoins. Cependant, n’oubliez pas que cela peut avoir une incidence négative sur votre expérience globale et sur les services que nous sommes en mesure de vous offrir.",https://www.rds.ca/videos/Hockey/NationalHockeyLeague/teams/16/lnh-logan-thompson-a-montreal-pour-inspirer-les-jeunes-hockey-3.1465816
NHL,Camp Duclair-Imama : faire avancer la diversité au hockey (LNH),"jeudi, 31 juillet 2025","Découvrez nos catégories de témoins ci-dessous. Vous pouvez choisir de ne pas autoriser certains types de témoins. Cependant, n’oubliez pas que cela peut avoir une incidence négative sur votre expérience globale et sur les services que nous sommes en mesure de vous offrir.",https://www.rds.ca/videos/hockey/lnh/camp-duclair-imama-faire-avancer-la-diversite-au-hockey-lnh-3.1466024
NHL,Canadiens : Jakub Dobes se mesure à la jeune relève,"jeudi, 31 juillet 2025","Découvrez nos catégories de témoins ci-dessous. Vous pouvez choisir de ne pas autoriser certains types de témoins. Cependant, n’oubliez pas que cela peut avoir une incidence négative sur votre expérience globale et sur les services que nous sommes en mesure de vous offrir.",https://www.rds.ca/videos/hockey/lnh/canadiens/canadiens-jakub-dobes-se-mesure-a-la-jeune-releve-3.1466095
NHL,Jakub Dobes : « C'est bien de moins penser au hockey pendant quelques mois »,"jeudi, 31 juillet 2025","Découvrez nos catégories de témoins ci-dessous. Vous pouvez choisir de ne pas autoriser certains types de témoins. Cependant, n’oubliez pas que cela peut avoir une incidence négative sur votre expérience globale et sur les services que nous sommes en mesure de vous offrir.",https://www.rds.ca/videos/hockey/lnh/canadiens/jakub-dobes-c-est-bien-de-moins-penser-au-hockey-pendant-quelques-mois-3.1466077
NHL,LNH : Zachary L'Heureux veut prouver qu'il mérite sa place (hockey),"jeudi, 31 juillet 2025","Découvrez nos catégories de témoins ci-dessous. Vous pouvez choisir de ne pas autoriser certains types de témoins. Cependant, n’oubliez pas que cela peut avoir une incidence négative sur votre expérience globale et sur les services que nous sommes en mesure de vous offrir.",https://www.rds.ca/videos/hockey/lnh/lnh-zachary-l-heureux-veut-prouver-qu-il-merite-sa-place-hockey-3.1465838
NHL,Top-10 : recrues à surveiller dans la LNH en 2025-2026 (hockey),"jeudi, 31 juillet 2025","Découvrez nos catégories de témoins ci-dessous. Vous pouvez choisir de ne pas autoriser certains types de témoins. Cependant, n’oubliez pas que cela peut avoir une incidence négative sur votre expérience globale et sur les services que nous sommes en mesure de vous offrir.",https://www.rds.ca/videos/hockey/lnh/top-10-recrues-a-surveiller-dans-la-lnh-en-2025-2026-hockey-3.1466015
NHL,"Vidéos de sports, clips de sports",mardi 29 juillet,"Découvrez nos catégories de témoins ci-dessous. Vous pouvez choisir de ne pas autoriser certains types de témoins. Cependant, n’oubliez pas que cela peut avoir une incidence négative sur votre expérience globale et sur les services que nous sommes en mesure de vous offrir.",https://www.rds.ca/videos/sports/lnh
NBA,"Vidéos de sports, clips de sports","jeudi, 31 juillet 2025","Découvrez nos catégories de témoins ci-dessous. Vous pouvez choisir de ne pas autoriser certains types de témoins. Cependant, n’oubliez pas que cela peut avoir une incidence négative sur votre expérience globale et sur les services que nous sommes en mesure de vous offrir.",https://www.rds.ca/videos/basketball
NBA,Finales NBA : Le meilleur des finales de la NBA 2025 (NBA),"jeudi, 31 juillet 2025","Découvrez nos catégories de témoins ci-dessous. Vous pouvez choisir de ne pas autoriser certains types de témoins. Cependant, n’oubliez pas que cela peut avoir une incidence négative sur votre expérience globale et sur les services que nous sommes en mesure de vous offrir.",https://www.rds.ca/videos/basketball/nba/finales-nba-le-meilleur-des-finales-de-la-nba-2025-nba-3.1464595
NBA,Repêchage NBA : Les Raptors optent pour Murray-Boyles au 9e rang (basketball),"jeudi, 31 juillet 2025","Découvrez nos catégories de témoins ci-dessous. Vous pouvez choisir de ne pas autoriser certains types de témoins. Cependant, n’oubliez pas que cela peut avoir une incidence négative sur votre expérience globale et sur les services que nous sommes en mesure de vous offrir.",https://www.rds.ca/videos/basketball/nba/repechage-nba-les-raptors-optent-pour-murray-boyles-au-9e-rang-basketball-3.1464688
NBA,"Repêchage NBA : Sans surprise, Cooper Flagg est le choix des Mavericks (basketball)","jeudi, 31 juillet 2025","Découvrez nos catégories de témoins ci-dessous. Vous pouvez choisir de ne pas autoriser certains types de témoins. Cependant, n’oubliez pas que cela peut avoir une incidence négative sur votre expérience globale et sur les services que nous sommes en mesure de vous offrir.",https://www.rds.ca/videos/basketball/nba/repechage-nba-sans-surprise-cooper-flagg-est-le-choix-des-mavericks-basketball-3.1464683
NBA,Summer League : 10 points pour les débuts de Cooper Flagg (NBA),"jeudi, 31 juillet 2025","Découvrez nos catégories de témoins ci-dessous. Vous pouvez choisir de ne pas autoriser certains types de témoins. Cependant, n’oubliez pas que cela peut avoir une incidence négative sur votre expérience globale et sur les services que nous sommes en mesure de vous offrir.",https://www.rds.ca/videos/basketball/nba/summer-league-10-points-pour-les-debuts-de-cooper-flagg-nba-3.1465345
MLB,Mariners : Circuit no 42 pour Cal Raleigh,"jeudi, 31 juillet 2025","Découvrez nos catégories de témoins ci-dessous. Vous pouvez choisir de ne pas autoriser certains types de témoins. Cependant, n’oubliez pas que cela peut avoir une incidence négative sur votre expérience globale et sur les services que nous sommes en mesure de vous offrir.",https://www.rds.ca/videos/baseball/mariners-circuit-no-42-pour-cal-raleigh-3.1466100
MLB,MLB : Braves 12 - Reds 11 (10 manches),"jeudi, 31 juillet 2025","Découvrez nos catégories de témoins ci-dessous. Vous pouvez choisir de ne pas autoriser certains types de témoins. Cependant, n’oubliez pas que cela peut avoir une incidence négative sur votre expérience globale et sur les services que nous sommes en mesure de vous offrir.",https://www.rds.ca/videos/baseball/mlb-braves-12-reds-11-10-manches-3.1466106
